name,organization,description,opportunity_type,check_size_min,check_size_max,stage,sectors,website,chicago_focused,location
Automotive Ventures,Automotive Ventures,"Based in Atlanta, GA. Focuses on Tech. Invests at Seed stage.",vc,,,seed,Tech,,False,"Atlanta, GA"
AV.VC,AV.VC,"Based in Chicago, IL. Focuses on Tech. Invests at Seed stage.",vc,,,seed,Tech,,True,"Chicago, IL"
Avrom Goldstein,Avrom Goldstein,Based in Avrom. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,Avrom
"AXS, University of Chicago, Made Scientific","AXS, University of Chicago, Made Scientific","Based in Los Angeles, CA. Focuses on Tech. Invests at Seed stage.",angel,0.0,250000.0,seed,Tech,,False,"Los Angeles, CA"
B5 Capital,B5 Capital,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Bangladesh Angels Network,Bangladesh Angels Network,"Focuses on Consumer, Tech. Invests at Seed stage.",angel,,,seed,"Consumer,Tech",https://www.bdangels.co,False,
Basis Set Ventures,Basis Set Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.basisset.com,False,
BBG Ventures (North America),BBG Ventures (North America),"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.bbgventures.com,False,
BECO Capital,BECO Capital,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.becocapital.com,False,
Bee Partners,Bee Partners,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.beepartners.vc,False,
Ben Sack,Ben Sack,Based in Ben. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,Ben
Benzir income support program,Benzir income support program,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Berks Group,Berks Group,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Bessemer Venture Partners,Bessemer Venture Partners,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.bvp.com,False,
Better Capital (California),Better Capital (California),"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.bettercapital.vc,False,
Bija Ventures,Bija Ventures,"Based in SF, CA. Focuses on Biotech. Invests at Pre-Seed, Seed stage.",angel,,,"pre-seed,seed",Biotech,,False,"SF, CA"
BioGenerator,BioGenerator,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Bird Dog Equity Partners,Bird Dog Equity Partners,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Blockchain Founders Fund,Blockchain Founders Fund,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://blockchainff.com,False,
Blu Ventures,Blu Ventures,Based in VA. Focuses on Healthcare. Invests at Series A stage.,vc,,,series-a,Healthcare,,False,VA
Blue Bear Capital,Blue Bear Capital,"Based in Jackson Hole, WY. Focuses on Climate. Invests at Series A stage.",vc,1000000.0,5000000.0,series-a,Climate,,False,"Jackson Hole, WY"
Blue Collective,Blue Collective,"Based in Brooklyn, NY. Focuses on Tech. Invests at Pre-Seed, Seed stage.",vc,,,"pre-seed,seed",Tech,,False,"Brooklyn, NY"
Blue Zone Ventures,Blue Zone Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.bluezone.ventures,False,
Bluestein Ventures,Bluestein Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.bluesteinventures.com,False,
Bluestem Capital Company,Bluestem Capital Company,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Bodley Group,Bodley Group,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Boeing HorizonX Global Ventures,Boeing HorizonX Global Ventures,Based in Chicago. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,True,Chicago
Boost VC,Boost VC,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.boost.vc,False,
BoxGroup,BoxGroup,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.boxgroup.com,False,
Boxscore Games,Boxscore Games,"Based in Chicago, IL. Focuses on Tech. Invests at Seed stage.",vc,,,seed,Tech,,True,"Chicago, IL"
Bradley Horowitz,Bradley Horowitz,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",,False,
Branded Hospitality,Branded Hospitality,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.brandedstrategic.com,False,
Brian Crump,Brian Crump,"Based in Chicago, IL. Focuses on Tech. Invests at Seed stage.",vc,,,seed,Tech,,True,"Chicago, IL"
Bridge Investments,Bridge Investments,Based in Chicago. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,True,Chicago
Bridge Latam,Bridge Latam,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.bridgelat.com,False,
Bridge Venture Fund,Bridge Venture Fund,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Broadhorn Capital,Broadhorn Capital,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Broadshade Investments,Broadshade Investments,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.broadshadeinvestments.com,False,
C2 Ventures,C2 Ventures,"Based in Houston, TX. Focuses on Tech. Invests at Seed stage.",vc,,,seed,Tech,,False,"Houston, TX"
Cade Ventures,Cade Ventures,"Based in New York, NY. Focuses on Healthcare, Consumer. Invests at Seed stage.",vc,,,seed,"Healthcare,Consumer",,False,"New York, NY"
Cake Ventures,Cake Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.cake.vc,False,
Cam Johnson,Cam Johnson,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Capital Factory,Capital Factory,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.capitalfactory.com,False,
Capitalize VC,Capitalize VC,"Based in Boston, MA. Focuses on Tech. Invests at Seed stage.",vc,,,seed,Tech,,False,"Boston, MA"
Carao Ventures,Carao Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.caraov.com,False,
Caroline Greenberg,Caroline Greenberg,Based in Caroline. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,Caroline
Cathexis Ventures,Cathexis Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.cathexisventures.com,False,
Centre Street Partners,Centre Street Partners,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.centrestreet.partners,False,
Cequel III,Cequel III,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Chaifetz Group LLC,Chaifetz Group LLC,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Charmides Capital,Charmides Capital,Based in IN. Focuses on SaaS. Invests at Seed stage.,vc,0.0,250000.0,seed,SaaS,,True,IN
Chateau Crypto,Chateau Crypto,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.chateaucrypto.vc,False,
Cherryrock Capital,Cherryrock Capital,"Based in San Francisco, CA. Focuses on AI, FinTech, Healthcare, Consumer. Invests at Series A stage.",vc,,,series-a,"AI,FinTech,Healthcare,Consumer",,False,"San Francisco, CA"
Chicago Early Growth Ventures,Chicago Early Growth Ventures,Based in IL. Focuses on Tech. Invests at Seed stage.,angel,0.0,250000.0,seed,Tech,,True,IL
Chicago Ventures,Chicago Ventures,Based in Chicago. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,True,Chicago
Chingona Ventures,Chingona Ventures,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Chirag Goel,Chirag Goel,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Chloe Capital,Chloe Capital,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Christian,Christian,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Christian McKenzie,Christian McKenzie,Based in Christian. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,Christian
Christyn S. Freemon,Christyn S. Freemon,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Clare Brandfonbrener,Clare Brandfonbrener,Based in clare@av.vc. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,clare@av.vc
Clark Thornburgh,Clark Thornburgh,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Cleveland Avenue,Cleveland Avenue,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Climate Capital,Climate Capital,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.climatecapital.co,False,
Clocktower Ventures,Clocktower Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.clocktowerventures.com,False,
Cobalt Ventures,Cobalt Ventures,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Coinbase Ventures,Coinbase Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://ventures.coinbase.com,False,
Collars Global,Collars Global,"Based in Roselle, IL. Focuses on Tech. Invests at Seed stage.",vc,,,seed,Tech,,True,"Roselle, IL"
Collin Bhojwani,Collin Bhojwani,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Completion Capital,Completion Capital,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Computime Equity Ventures,Computime Equity Ventures,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
ConcreteRose,ConcreteRose,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Conscious Venture Partners,Conscious Venture Partners,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.cvpartners.vc,False,
Corazon capital,Corazon capital,Based in Chicago. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,True,Chicago
Cornerstone VC,Cornerstone VC,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.cornerstonevc.co,False,
Cosette Rodriguez,Cosette Rodriguez,Based in Cosette. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,Cosette
Cosimo Capital,Cosimo Capital,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Coughdrop Capital,Coughdrop Capital,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.coughdropcapital.com,False,
Courtyard Ventures,Courtyard Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.courtyard.vc,False,
Crane Venture Partners,Crane Venture Partners,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.crane.vc,False,
Creative Data Insights,Creative Data Insights,"Based in Pinehurst, NC. Focuses on SaaS. Invests at Seed stage.",angel,,,seed,SaaS,,False,"Pinehurst, NC"
CubeNexus Inc,CubeNexus Inc,"Based in Chicago, IL. Focuses on AI. Invests at Pre-Seed, Seed stage.",angel,0.0,250000.0,"pre-seed,seed",AI,,True,"Chicago, IL"
Cultivate(MD),Cultivate(MD),"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.cultivate-md.com,False,
Cultivation Capital,Cultivation Capital,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Culture City,Culture City,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Cure8 Ventures,Cure8 Ventures,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Dakota Venture Group,Dakota Venture Group,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Dana Guthrie,Dana Guthrie,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Daniel Gross,Daniel Gross,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",,False,
Daniel Townsend,Daniel Townsend,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Dara Khosrowshahi,Dara Khosrowshahi,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",,False,
Databricks Ventures,Databricks Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",,False,
DataTribe,DataTribe,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
David Dalka,David Dalka,Based in David. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,David
Decasonic,Decasonic,"Based in Chicago, IL. Focuses on Tech. Invests at Seed stage.",vc,,,seed,Tech,,True,"Chicago, IL"
Demetrius,Demetrius,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Demetrius Palmer,Demetrius Palmer,Based in Demetrius. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,Demetrius
DG Daiwa Ventures,DG Daiwa Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.dg-daiwa-v.com,False,
Diameta Ventures,Diameta Ventures,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Dima Elissa,Dima Elissa,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Dinsmore & Shohl LLP,Dinsmore & Shohl LLP,"Focuses on AI. Invests at Pre-Seed, Seed stage.",angel,0.0,250000.0,"pre-seed,seed",AI,,False,
Dipalo Ventures,Dipalo Ventures,"Based in Chicago, IL. Focuses on CleanTech. Invests at Seed stage.",vc,,,seed,CleanTech,,True,"Chicago, IL"
Distributed Ventures,Distributed Ventures,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Dom Capital,Dom Capital,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Douglas English,Douglas English,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",,False,
Draft Ventures,Draft Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://draftvc.com,False,
Dragonfly (San Francisco),Dragonfly (San Francisco),"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.dragonfly.xyz,False,
Drive Capital,Drive Capital,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Dujon Smith,Dujon Smith,Based in Dujon. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,Dujon
Dundee Venture Capital,Dundee Venture Capital,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.dundeeventurecapital.com,False,
Earnest L Sweat,Earnest L Sweat,Based in Earnest. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,Earnest
ECMC Ed Impact Fund,ECMC Ed Impact Fund,"Based in Chicago, IL. Focuses on Tech. Invests at Seed stage.",vc,,,seed,Tech,,True,"Chicago, IL"
ECMC Foundation,ECMC Foundation,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.ecmcfoundation.org,False,
Edelman Financial Services,Edelman Financial Services,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Elevate Ventures,Elevate Ventures,"Based in Indianapolis, IN. Focuses on Tech. Invests at Pre-Seed, Seed stage.",vc,,,"pre-seed,seed",Tech,,True,"Indianapolis, IN"
Embark Ventures,Embark Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.embark.vc,False,
Embedding VC,Embedding VC,"Based in Menlo Park, CA. Focuses on AI. Invests at Seed stage.",vc,,,seed,AI,,False,"Menlo Park, CA"
Emmanuelle,Emmanuelle,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Emmanuelle Beaurpere,Emmanuelle Beaurpere,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Ensemble Innovations,Ensemble Innovations,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Enterprise Center of Johnson County,Enterprise Center of Johnson County,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Enterprise Holdings Ventures,Enterprise Holdings Ventures,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Enzo Modesto,Enzo Modesto,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Eric Shan,Eric Shan,Based in Eric. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,Eric
Ernesto Gemoets,Ernesto Gemoets,"Based in Niles, IL. Focuses on Tech. Invests at Seed stage.",vc,,,seed,Tech,,True,"Niles, IL"
Essence Venture Capital,Essence Venture Capital,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.essencevc.fund,False,
Eterna Capital,Eterna Capital,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.eternacapital.com,False,
Evale Holdings,Evale Holdings,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Eventide Asset Management,Eventide Asset Management,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Evergreen Climate Innovations,Evergreen Climate Innovations,"Based in Chicago, IL. Focuses on Tech. Invests at Seed stage.",vc,,,seed,Tech,,True,"Chicago, IL"
Evergy Ventures,Evergy Ventures,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Everywhere Ventures,Everywhere Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://everywhere.vc,False,
Evolve Ventures,Evolve Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://evolve.org,False,
Expert DOJO,Expert DOJO,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.expertdojo.com,False,
Failup Ventures,Failup Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.failup.com,False,
FedTech,FedTech,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.fedtech.io,False,
Feld Ventures,Feld Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.feldventures.com,False,
Female Founders Fund,Female Founders Fund,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.femalefoundersfund.com,False,
Fifth Third Bank,Fifth Third Bank,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
FINTOP Capital,FINTOP Capital,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
Firebrand Ventures,Firebrand Ventures,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
First Analysis,First Analysis,Based in Chicago. Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,True,Chicago
First In,First In,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.wearefirstin.com,False,
Fitz Gate Ventures,Fitz Gate Ventures,"Based in Houston, TX. Focuses on Tech. Invests at Seed stage.",vc,,,seed,Tech,,False,"Houston, TX"
Flori Ventures,Flori Ventures,"Focuses on Consumer, Tech. Invests at Seed stage.",vc,,,seed,"Consumer,Tech",https://www.floriventures.com,False,
Flyover Capital,Flyover Capital,Focuses on Tech. Invests at Seed stage.,vc,,,seed,Tech,,False,
